,uniswap,aave
-5,-0.004646141831115829,0.10192931015889532
-4,0.025668003513404584,0.11476814941074479
-3,-0.19120722266178172,-0.09224535309677132
-2,-0.17998798429745394,-0.03073974622700078
-1,0.0016952648451870227,-0.05733914690307374
0,-0.07505697447016851,-0.09215909835354658
1,0.6439203670860361,0.7793989674694779
2,0.17087972282688657,-0.018994291922924303
3,0.028666899374873926,-0.029719220373953935
4,-0.02202972514617049,-0.025665780093198913
5,-0.04043675988093925,-0.052671825147722263
